Topic,Question,Answer
Self-assessment for individuals,What is the filing date for paper self-assessment returns?,31 October after end of tax year
Self-assessment for individuals,What is the filing date for electronic self-assessment returns?,31 January after end of tax year
Self-assessment for individuals,What date must an individual notify HMRC of chargeability to income tax and CGT?,5 October after end of tax year
Self-assessment for individuals,HMRC issued a notice on 14 December requiring the taxpayer to file - what is the filing date?,13 March - 3 months from notice date because it's after the October/January deadline
Self-assessment for individuals,HMRC issued a notice on 16 May requiring the taxpayer to file - what is the filing date?,31 January (or 31 October if paper)
Self-assessment for individuals,A sole trader has made an error on his tax return - how do you calculate the PLR?,Tax the difference and NIC at the marignal rate
Self-assessment for individuals,HMRC issued a notice on 14 December - what is the deadline for the taxpayer to make an amendment?,13 March Year 2 - 12 months from due filing date
Self-assessment for individuals,What is the standard deadline for the taxpayer to make an amendment?,Within 12 months of the due filing date (i.e. 31 January Year 2)
Self-assessment for individuals,The return was actually filed on 11 April - what is the deadline for HMRC to make an amendment?,11 January - within 9 months from the actual filing date
Self-assessment for individuals,What are the dates of Income Tax and Class 4 NICs payments on account?,31 January during tax year and 31 July following tax year
Self-assessment for individuals,What is the payable date of any CGT (not residential property) or balancing payment?,31 January following end of the tax year
Self-assessment for individuals,What is the payable date for disposal of residential property for CGT?,60 days of completion of the disposal
Self-assessment for individuals,The return was filed on early on 1 December - what is the deadline for HMRC to give notice of a compliance check?,1 December Year 2 - one year from the actual filing date
Self-assessment for individuals,The return was filed late on 1 March - what is the deadline for HMRC to give notice of a compliance check?,30 April Year 2 - the quarter day following the first anniversary of the filing date
Self-assessment for individuals,The tax payer wants to make an amendment to their return - is the deadline one year or nine months? Is it from the actual filing date or the due filing date?,One year from the due filing date
Self-assessment for individuals,HMRC wants to make an amendment to a return - is the deadline one year or nine months? Is it from the actual filing date or the due filing date?,9 months from the actual filing date
Self-assessment for individuals,The return was filed late - what is HMRC's deadline to notify a compliance check?,Quarter date following the first anniversary of the actual filing date
Self-assessment for individuals,The return was filed on time - what is HMRC's deadline to notify a compliance check?,One year from the actual filing date
Loss relief for individuals,When must a claim be made by individuals for carry back or current period loss relief?,"Must be made by 31 January, 22 months after end of tax year of the loss"
Loss relief for individuals,When must a claim be made by individuals for carry forward loss relief?,Must be made within 4 years of end of tax year of the loss
Loss relief for individuals,When must a claim be made by an individual for Early Trading Loss Relief?,"Must be made by 31 January, 22 months after end of tax year of the loss"
Loss relief for individuals,When must a claim be made by an individual for Terminal Loss Relief?,Must be made within 4 years of end of tax year of the loss
CGT business reliefs,When must a claim be made by an individual for Business Asset Disposal Relief?,"Must be made by 31 January, 22 months after end of tax year of the disposal"
CGT business reliefs,When must a claim be made by an individual for Investor's Relief?,"Must be made by 31 January, 22 months after end of tax year of the disposal"
CGT business reliefs,When must a joint claim be made for gift holdover relief?,Must be made within 4 years of the end of the tax year of the disposal
CGT business reliefs,When must a joint claim be made for rollover relief?,Must be made by the later of four years of the end of the tax year of the disposal or four years of the end of the disposal of the acquisition
Loss relief for companies,When must a claim be made by a company for carry back or current period loss relief?,Must be made within 2 years of the end of accounting period of the loss made
Loss relief for companies,When must a claim be made by a company to use and quantify amount of carry forward loss relief?,Must be made within 2 years of the end of accounting period of the loss relieved
Loss relief for groups,When must a claim be made by a group for current period or carry forward group relief?,Must be made within 2 years of the end of the claimant company's profit making period
Loss relief for groups,When must a claim be made by a group to transfer group gains and losses?,Joint election within two years of end of disposing company's account period
Inhertance tax,What is the payment due date for lifetime transfers made 6 Apr - 30 Sept?,30 April after end of tax year
Inhertance tax,What is the payment due date for lifetime transfers made 1 Oct - 5 April?,6 months from end of month of transfer
Inhertance tax,What is the payment due date for the death tax on lifetime gifts?,6 months from end of month of death
Inhertance tax,What is the payment due date for the death tax on the death estate?,6 months from end of month of death or on delivery of account by PR if earlier
